key,value
place,롯데시티호텔 대전
rooms,크리스탈볼룸
rooms,루비룸 (1층)
audience,MR 동문 (역대 전 기수)
audience,현역 부원
audience,지도교수 및 내빈
audience,가족 동반 환영
fee,성인 10~15만원
fee,학부생 5만원
fee,유아동 3만원
program,15:00|1부 · 개회와 축사|지도교수님·동문 선배·회장 인사
program,16:00|1부 · 로봇 토크 콘서트|선배 연사들과 함께하는 기술·추억 토크
program,18:00|2부 · 40년사 영상과 사진|연대별 선배들의 이야기
program,20:00|3부 · 선후배 대화의 시간|경품 추첨과 마무리
duration_hours,6
address,
parking,
seating,
emergency,
refund_policy,
attendance_count,
card_payment,
transfer_payment,
kakao_map,
naver_map,
live_url,
replay_url,
